index,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 5-Listeners,Prim: Dec. 6-Listeners,collab,max velocity,peak weekly rank,peak weekly play count,best or worst,listener difference,listener diff. %,Prim: Dec. 6-Followers,current engagement,career status,emerging
0,2020-01-16T00:00:00.000Z,90,Burberry faygo,28182720,['Lil Adrei'],[3519112],2441829,1,,Lil Adrei,,3519112,,293,1,False,,90,2441829,worst50,-292,-99.65870307167236,211,211.0,indie,True
1,2020-01-16T00:00:00.000Z,149,Up The Smoke (with Offset),26950349,"['Stunna 4 Vegas', 'Offset']","[1366399, 308891]",1911216,5,-1.57142857142857,Stunna 4 Vegas,Offset,1366399,308891.0,3982332,4441837,True,6.142857142857139,138,1911216,worst50,459505,11.538590956253776,446619,0.10054826415287188,indie,False
2,2020-01-16T00:00:00.000Z,173,Kraazy,18618815,['Likybo'],[524838],1800754,1,,Likybo,,524838,,125390,751630,False,,173,1800754,worst50,626240,499.4337666480581,34143,0.045425275734071284,indie,False
3,2020-01-23T00:00:00.000Z,150,Faygo,24265507,['The 7 Dimensions'],[1623316],2018669,1,,The 7 Dimensions,,1623316,,15,1,False,,150,2018669,worst50,-14,-93.33333333333331,640,640.0,indie,True
4,2020-01-23T00:00:00.000Z,155,Somebody,25947543,"['Internet Money', 'Lil Tecca', 'A Boogie Wit da Hoodie']","[1146681, 1014878, 195737]",1986330,14,-2.71428571428571,Internet Money,Lil Tecca,1146681,1014878.0,3332735,29842456,True,0.5714285714285711,122,2050934,worst50,26509721,795.4344104766806,169846,0.0056914216443847655,indie,False
5,2020-01-23T00:00:00.000Z,176,First Place,28213966,"['Polo G', 'Lil Tjay']","[1120779, 1349373]",1849723,1,,Polo G,Lil Tjay,1120779,1349373.0,6972084,14502757,True,,176,1849723,worst50,7530673,108.0117938911809,2513278,0.17329656699067633,indie,False
6,2020-01-23T00:00:00.000Z,200,"Under The Sun (feat. J. Cole, Lute & DaBaby)",24331006,"['Dreamville', 'J. Cole', 'Lute', 'DaBaby']","[1610170, 3530, 731170, 398544]",1709303,11,,Dreamville,J. Cole,1610170,3530.0,5952166,4341125,True,,200,1709303,worst50,-1611041,-27.066466224228286,306283,0.07055383109217081,indie,False
7,2020-01-30T00:00:00.000Z,164,Break My Stride,15812592,['Matthew Wilder'],[209995],1823713,2,-5.0,Matthew Wilder,,209995,,1708455,3344978,False,-5.0,129,2202532,worst50,1636523,95.78964620080716,26235,0.007843100911276546,indie,False
8,2020-01-30T00:00:00.000Z,200,My Type,22674262,['Saweetie'],[808784],1632485,25,,Saweetie,,808784,,6362805,11227135,False,-1.0,182,1675437,worst50,4864330,76.44945900432279,816580,0.0727327140895696,indie,False
9,2020-02-06T00:00:00.000Z,155,U Played (feat. Lil Baby),28071980,"['Moneybagg Yo', 'Lil Baby']","[601328, 731530]",1839713,4,-1.57142857142857,Moneybagg Yo,Lil Baby,601328,731530.0,4582656,6836398,True,-1.14285714285714,101,2296195,worst50,2253742,49.17982061058043,1703878,0.24923622059452946,indie,True
10,2020-02-13T00:00:00.000Z,116,Revenge,28380965,['Joyner Lucas'],[208966],2033146,1,,Joyner Lucas,,208966,,5570140,6834123,False,,116,2033146,worst50,1263983,22.692122639646396,1483674,0.21709793634091748,indie,False
11,2020-02-13T00:00:00.000Z,159,Cash Shit (feat. Da Baby),23214451,"['Megan Thee Stallion', 'DaBaby']","[788785, 398544]",1793358,32,-2.85714285714286,Megan Thee Stallion,DaBaby,788785,398544.0,7364874,33408712,True,3.14285714285714,112,2161984,worst50,26043838,353.6223158739715,2628012,0.07866247582367138,indie,False
12,2020-02-13T00:00:00.000Z,163,Diva (feat. Lil Tecca),28333927,"['The Kid LAROI', 'Lil Tecca']","[1333786, 1014878]",1757439,2,-7.0,The Kid LAROI,Lil Tecca,1333786,1014878.0,403958,17121042,True,-7.0,114,2092694,worst50,16717084,4138.322300833255,791775,0.046245724997345375,indie,False
13,2020-02-13T00:00:00.000Z,174,UP THE SMOKE (with Offset),26950349,"['Stunna 4 Vegas', 'Offset']","[1366399, 308891]",1680362,3,,Stunna 4 Vegas,Offset,1366399,308891.0,3982332,4441837,True,-1.14285714285714,167,1904090,worst50,459505,11.538590956253776,446619,0.10054826415287188,indie,False
14,2020-02-13T00:00:00.000Z,189,Faucet Failure,22039291,['Ski Mask The Slump God'],[238275],1633724,59,-0.14285714285714302,Ski Mask The Slump God,,238275,,7992604,7195460,False,0.7142857142857142,160,1794464,worst50,-797144,-9.973520519720482,3712707,0.5159791034902563,indie,True
15,2020-02-27T00:00:00.000Z,142,Shake The Room (feat. Quavo),28403251,"['Pop Smoke', 'Quavo']","[1401297, 38780]",1947724,2,,Pop Smoke,Quavo,1401297,38780.0,4275931,39885895,True,,142,1947724,worst50,35609964,832.8002486476046,2726875,0.068366900128479,indie,False
16,2020-03-05T00:00:00.000Z,175,How I Move (feat. Lil Baby),27322391,"['Flipp Dinero', 'Lil Baby']","[537971, 731530]",1862519,12,-3.28571428571429,Flipp Dinero,Lil Baby,537971,731530.0,6430752,4927658,True,5.14285714285714,118,2209553,worst50,-1503094,-23.373533919516724,755419,0.15330183222942825,indie,False
17,2020-03-12T00:00:00.000Z,76,Happiness Over Everything (H.O.E.) (feat. Future & Miguel),28607668,"['Jhené Aiko', 'Future', 'Miguel']","[99401, 3870, 3853]",3089221,1,,Jhené Aiko,Future,99401,3870.0,6692896,9915900,True,,76,3089221,worst50,3223004,48.155596620655686,3898004,0.3931064250345405,indie,True
18,2020-03-12T00:00:00.000Z,127,None Of Your Concern (feat. Big Sean),27340142,"['Jhené Aiko', 'Big Sean']","[99401, 2926]",2195334,1,,Jhené Aiko,Big Sean,99401,2926.0,6692896,9915900,True,,127,2195334,worst50,3223004,48.155596620655686,3898004,0.3931064250345405,indie,True
19,2020-03-12T00:00:00.000Z,133,Triggered (freestyle),22953193,['Jhené Aiko'],[99401],2158156,1,,Jhené Aiko,,99401,,6692896,9915900,False,,133,2158156,worst50,3223004,48.155596620655686,3898004,0.3931064250345405,indie,True
20,2020-03-12T00:00:00.000Z,163,P*$$Y Fairy (OTW),28678788,['Jhené Aiko'],[99401],1956442,1,,Jhené Aiko,,99401,,6692896,9915900,False,5.857142857142861,110,2225146,worst50,3223004,48.155596620655686,3898004,0.3931064250345405,indie,True
21,2020-03-12T00:00:00.000Z,167,Lottery (Renegade),22696770,['K CAMP'],[4617],1910576,6,-4.85714285714286,K CAMP,,4617,,4331622,3887872,False,8.71428571428571,99,2273960,worst50,-443750,-10.244430377350564,1230550,0.31650990567590703,indie,True
22,2020-03-12T00:00:00.000Z,186,SUGAR (Remix) [feat. Dua Lipa],28670326,"['BROCKHAMPTON', 'Dua Lipa']","[80749, 5381]",1781774,1,,BROCKHAMPTON,Dua Lipa,80749,5381.0,6245954,8268495,True,,186,1781774,worst50,2022541,32.381618564593985,1630040,0.19713865703492595,indie,False
23,2020-03-12T00:00:00.000Z,198,B.I.T.C.H.,28279662,['Megan Thee Stallion'],[788785],1752906,1,,Megan Thee Stallion,,788785,,7364874,33408712,False,-13.142857142857098,46,3621036,best50,26043838,353.6223158739715,2628012,0.07866247582367138,indie,False
24,2020-03-19T00:00:00.000Z,157,Had Enough (feat. Quavo & Offset),28008317,"['Offset', 'Quavo']","[689070, 38780]",1822045,1,,Offset,Quavo,689070,38780.0,44837,21175,True,-0.14285714285714302,54,3012901,worst50,-23662,-52.77337912884448,667,0.031499409681227865,indie,False
25,2020-03-19T00:00:00.000Z,190,VALENTINO,22325171,['24kGoldn'],[1005525],1635539,16,,24kGoldn,,1005525,,5790432,42134582,False,2.0,73,2541856,worst50,36344150,627.6586962768928,557965,0.013242447735686568,indie,False
26,2020-03-26T00:00:00.000Z,184,"All I Want - From ""High School Musical: The Musical: The Series""",27528385,['Olivia Rodrigo'],[260477],1545359,13,1.7142857142857095,Olivia Rodrigo,,260477,,1829803,4981888,False,14.0,64,2955312,worst50,3152085,172.26362619363942,179598,0.03605018820174199,indie,False
27,2020-04-02T00:00:00.000Z,128,Will,28861618,['Joyner Lucas'],[208966],1913944,1,,Joyner Lucas,,208966,,5570140,6834123,False,,128,1913944,worst50,1263983,22.692122639646396,1483674,0.21709793634091748,indie,False
28,2020-04-02T00:00:00.000Z,194,Addison Rae,28817902,['The Kid LAROI'],[1333786],1506772,1,,The Kid LAROI,,1333786,,403958,17121042,False,,194,1506772,worst50,16717084,4138.322300833255,791775,0.046245724997345375,indie,False
29,2020-04-09T00:00:00.000Z,110,Kinfolks,25895698,['Sam Hunt'],[4954],1944676,1,,Sam Hunt,,4954,,6174734,6243358,False,,110,1944676,worst50,68624,1.1113677123581356,1986473,0.31817380967101355,indie,True
30,2020-04-09T00:00:00.000Z,136,Little Things (with Quinn XCII & Chelsea Cutler),28896647,"['Louis The Child', 'Quinn XCII', 'Chelsea Cutler']","[4985, 214809, 406347]",1741492,1,,Louis The Child,Quinn XCII,4985,214809.0,4707634,5275646,True,,136,1741492,worst50,568012,12.065763821061704,388393,0.07361998890751957,indie,False
31,2020-04-09T00:00:00.000Z,137,2016,28896626,['Sam Hunt'],[4954],1734808,1,,Sam Hunt,,4954,,6174734,6243358,False,,137,1734808,worst50,68624,1.1113677123581356,1986473,0.31817380967101355,indie,True
32,2020-04-09T00:00:00.000Z,162,Hard To Forget,28405772,['Sam Hunt'],[4954],1596043,1,,Sam Hunt,,4954,,6174734,6243358,False,,162,1596043,worst50,68624,1.1113677123581356,1986473,0.31817380967101355,indie,True
33,2020-04-16T00:00:00.000Z,86,Cruel Intentions,28603203,"['Delacey', 'G-Eazy']","[420645, 4114]",2021905,3,-4.142857142857141,Delacey,G-Eazy,420645,4114.0,614050,617757,True,19.2857142857143,57,2575552,worst50,3707,0.6036967673642212,28531,0.04618482671989148,indie,False
34,2020-04-16T00:00:00.000Z,144,Inside Friend (feat. John Mayer),28995982,"['Leon Bridges', 'John Mayer']","[5124, 1071]",1581307,1,,Leon Bridges,John Mayer,5124,1071.0,6968266,9456828,True,,144,1581307,worst50,2488562,35.71278708361593,1114131,0.11781233622944184,indie,False
35,2020-04-16T00:00:00.000Z,173,Dior (with Gunna) - Remix,28459888,"['Pop Smoke', 'Gunna']","[1401297, 620149]",1449050,5,1.14285714285714,Pop Smoke,Gunna,1401297,620149.0,4275931,39885895,True,1.14285714285714,169,1804297,worst50,35609964,832.8002486476046,2726875,0.068366900128479,indie,False
36,2020-04-16T00:00:00.000Z,179,The Adults Are Talking,28999115,['The Strokes'],[1011],1429862,1,,The Strokes,,1011,,5939392,7470435,False,,179,1429862,worst50,1531043,25.77777321315044,3404749,0.45576315167724496,indie,True
37,2020-04-16T00:00:00.000Z,183,Envy Me,20631889,['Calboy'],[839914],1419469,42,-1.0,Calboy,,839914,,4371389,3211682,False,3.14285714285714,158,1813027,worst50,-1159707,-26.529485250569092,610201,0.1899942148693426,indie,False
38,2020-04-16T00:00:00.000Z,185,Trust,21820101,['Brent Faiyaz'],[207300],1417857,8,0.5714285714285711,Brent Faiyaz,,207300,,2112045,5923209,False,1.57142857142857,89,2430713,worst50,3811164,180.44899611513958,1092542,0.18445102983872425,indie,False
39,2020-04-16T00:00:00.000Z,194,Brooklyn Bridge To Chorus,28907615,['The Strokes'],[1011],1385231,1,,The Strokes,,1011,,5939392,7470435,False,,194,1385231,worst50,1531043,25.77777321315044,3404749,0.45576315167724496,indie,True
40,2020-04-23T00:00:00.000Z,164,Fade Away,29094406,"['The Kid LAROI', 'Lil Tjay']","[1333786, 1349373]",1552210,1,,The Kid LAROI,Lil Tjay,1333786,1349373.0,403958,17121042,True,,164,1552210,worst50,16717084,4138.322300833255,791775,0.046245724997345375,indie,False
41,2020-04-23T00:00:00.000Z,177,Leader Of The Delinquents,29058301,['Kid Cudi'],[3213],1506443,1,,Kid Cudi,,3213,,7852913,16438484,False,,177,1506443,worst50,8585571,109.32976081614555,4183290,0.2544814959822329,indie,True
42,2020-04-23T00:00:00.000Z,188,I Want You To Love Me,29096702,['Fiona Apple'],[262],1477522,1,,Fiona Apple,,262,,1702185,1881594,False,,188,1477522,worst50,179409,10.539923686320817,727007,0.3863782516313296,indie,True
43,2020-04-30T00:00:00.000Z,181,Sick and Tired,29094944,"['iann dior', 'Machine Gun Kelly', 'Travis Barker']","[1416285, 3991, 216839]",1453550,2,-11.5714285714286,iann dior,Machine Gun Kelly,1416285,3991.0,4480855,39141809,True,-11.5714285714286,100,2069669,worst50,34660954,773.5343812732167,850496,0.02172858183432452,indie,False
44,2020-04-30T00:00:00.000Z,183,ORANGE SODA,24494993,['Baby Keem'],[1154357],1449416,22,1.14285714285714,Baby Keem,,1154357,,3171892,4219464,False,3.4285714285714306,54,3121997,worst50,1047572,33.026723482388434,169460,0.04016149918567856,indie,False
45,2020-04-30T00:00:00.000Z,185,Nobody But You (Duet with Gwen Stefani),27661595,"['Blake Shelton', 'Gwen Stefani']","[1258, 1541]",1443311,1,,Blake Shelton,Gwen Stefani,1258,1541.0,7294325,8038171,True,,185,1443311,worst50,743846,10.1975988182594,5426745,0.6751218654094321,indie,True
46,2020-04-30T00:00:00.000Z,192,GOODMORNINGTOKYO!,26287895,['TOKYO’S REVENGE'],[1589511],1419830,20,-3.0,TOKYO’S REVENGE,,1589511,,2090077,3248601,False,5.71428571428571,44,3698347,best50,1158524,55.42972818704765,204040,0.06280857513742069,indie,False
47,2020-05-07T00:00:00.000Z,48,Turks (feat. Travis Scott),28856233,"['NAV', 'Gunna', 'Travis Scott']","[476687, 620149, 4215]",3324357,6,-2.71428571428571,NAV,Gunna,476687,620149.0,7833614,10431009,True,-0.28571428571428603,4,8502704,best50,2597395,33.15704603264854,2267113,0.2173435954278249,indie,True
48,2020-05-07T00:00:00.000Z,123,Qué Maldición,29264315,"['Banda MS de Sergio Lizárraga', 'Snoop Dogg']","[143281, 60]",1859666,1,,Banda MS de Sergio Lizárraga,Snoop Dogg,143281,60.0,6415424,8174177,True,,123,1859666,worst50,1758753,27.414446808192253,9882423,1.2089807940297843,indie,True
49,2020-05-07T00:00:00.000Z,124,Moral of the Story,22431307,['Ashe'],[213758],1858878,11,-2.28571428571429,Ashe,,213758,,916874,6667374,False,0.5714285714285711,30,4315823,best50,5750500,627.1854147898183,349337,0.05239499089146642,indie,False
50,2020-05-07T00:00:00.000Z,185,Coffee,29257202,"['Quinn XCII', 'Marc E. Bassy']","[214809, 5727]",1529566,1,,Quinn XCII,Marc E. Bassy,214809,5727.0,6565662,6784005,True,,185,1529566,worst50,218343,3.3255290936389965,560033,0.08255197335497247,indie,False
51,2020-05-14T00:00:00.000Z,70,Codeine (feat. Gunna),29347869,"['NAV', 'Gunna']","[476687, 749368]",2272918,1,,NAV,Gunna,476687,749368.0,7833614,10431009,True,,70,2272918,worst50,2597395,33.15704603264854,2267113,0.2173435954278249,indie,True
52,2020-05-14T00:00:00.000Z,75,@ MEH,29093768,['Playboi Carti'],[470449],2188789,4,-1.57142857142857,Playboi Carti,,470449,,5973554,7897263,False,-1.57142857142857,8,6233724,best50,1923709,32.203760106629986,4129145,0.5228577293171065,indie,True
53,2020-05-14T00:00:00.000Z,140,Saint Laurenttt,29347446,['NAV'],[476687],1724686,1,,NAV,,476687,,7833614,10431009,False,,140,1724686,worst50,2597395,33.15704603264854,2267113,0.2173435954278249,indie,True
54,2020-05-14T00:00:00.000Z,146,Status (feat. Lil Uzi Vert),29347690,"['NAV', 'Lil Uzi Vert']","[476687, 5732]",1711954,1,,NAV,Lil Uzi Vert,476687,5732.0,7833614,10431009,True,,146,1711954,worst50,2597395,33.15704603264854,2267113,0.2173435954278249,indie,True
55,2020-05-14T00:00:00.000Z,149,My Business (feat. Future),29347590,"['NAV', 'Future']","[476687, 3870]",1699123,1,,NAV,Future,476687,3870.0,7833614,10431009,True,,149,1699123,worst50,2597395,33.15704603264854,2267113,0.2173435954278249,indie,True
56,2020-05-14T00:00:00.000Z,150,Run It Up (feat. Pop Smoke),29347589,"['NAV', 'Pop Smoke']","[476687, 1401297]",1699003,1,,NAV,Pop Smoke,476687,1401297.0,7833614,10431009,True,,150,1699003,worst50,2597395,33.15704603264854,2267113,0.2173435954278249,indie,True
57,2020-05-14T00:00:00.000Z,166,Recap (feat. Don Toliver),29347650,"['NAV', 'Don Toliver']","[476687, 838183]",1612736,1,,NAV,Don Toliver,476687,838183.0,7833614,10431009,True,,166,1612736,worst50,2597395,33.15704603264854,2267113,0.2173435954278249,indie,True
58,2020-05-14T00:00:00.000Z,168,No Debate (feat. Young Thug),29347643,"['NAV', 'Young Thug']","[476687, 4517]",1604452,1,,NAV,Young Thug,476687,4517.0,7833614,10431009,True,,168,1604452,worst50,2597395,33.15704603264854,2267113,0.2173435954278249,indie,True
59,2020-05-21T00:00:00.000Z,79,Beautiful Pain (Losin My Mind),29427890,['Polo G'],[1120779],2331472,1,,Polo G,,1120779,,6972084,14502757,False,,79,2331472,worst50,7530673,108.0117938911809,2513278,0.17329656699067633,indie,False
60,2020-05-21T00:00:00.000Z,104,Heartless (feat. Mustard),25273049,"['Polo G', 'Mustard']","[1120779, 4573]",2026621,1,,Polo G,Mustard,1120779,4573.0,6972084,14502757,True,,104,2026621,worst50,7530673,108.0117938911809,2513278,0.17329656699067633,indie,False
61,2020-05-21T00:00:00.000Z,127,33,29427846,['Polo G'],[1120779],1848996,1,,Polo G,,1120779,,6972084,14502757,False,,127,1848996,worst50,7530673,108.0117938911809,2513278,0.17329656699067633,indie,False
62,2020-05-21T00:00:00.000Z,142,I Know,29427856,['Polo G'],[1120779],1767056,1,,Polo G,,1120779,,6972084,14502757,False,,142,1767056,worst50,7530673,108.0117938911809,2513278,0.17329656699067633,indie,False
63,2020-05-21T00:00:00.000Z,144,DND,28997225,['Polo G'],[1120779],1758038,1,,Polo G,,1120779,,6972084,14502757,False,-11.857142857142902,69,2273951,worst50,7530673,108.0117938911809,2513278,0.17329656699067633,indie,False
64,2020-05-21T00:00:00.000Z,154,Don't Believe The Hype,29427864,['Polo G'],[1120779],1710305,1,,Polo G,,1120779,,6972084,14502757,False,,154,1710305,worst50,7530673,108.0117938911809,2513278,0.17329656699067633,indie,False
65,2020-05-21T00:00:00.000Z,173,Wishing For A Hero (feat. BJ The Chicago Kid),29427887,"['Polo G', 'BJ The Chicago Kid']","[1120779, 13578]",1586814,1,,Polo G,BJ The Chicago Kid,1120779,13578.0,6972084,14502757,True,,173,1586814,worst50,7530673,108.0117938911809,2513278,0.17329656699067633,indie,False
66,2020-05-21T00:00:00.000Z,190,Lonely If You Are,23902902,['Chase Rice'],[4280],1532216,1,,Chase Rice,,4280,,2949484,2921153,False,,190,1532216,worst50,-28331,-0.9605408946107185,840112,0.2875960280067494,indie,True
67,2020-05-28T00:00:00.000Z,89,Daechwita,29510009,['Agust D'],[1404760],2080834,1,,Agust D,,1404760,,628422,2866059,False,,89,2080834,worst50,2237637,356.07235265474475,3427563,1.195915017799703,indie,True
68,2020-05-28T00:00:00.000Z,127,Angels & Demons,29461594,['jxdn'],[3573734],1778715,1,,jxdn,,3573734,,71381,3245548,False,,127,1778715,worst50,3174167,4446.795365713565,527144,0.1624206451422071,indie,False
69,2020-05-28T00:00:00.000Z,187,Will - Remix,29432366,"['Joyner Lucas', 'Will Smith']","[208966, 130]",1513668,2,-13.4285714285714,Joyner Lucas,Will Smith,208966,130.0,5570140,6834123,True,-13.4285714285714,93,2117838,worst50,1263983,22.692122639646396,1483674,0.21709793634091748,indie,False
70,2020-06-04T00:00:00.000Z,182,Six Feet Apart,29260566,['Luke Combs'],[207759],1497177,4,,Luke Combs,,207759,,7904711,11328621,False,-4.57142857142857,68,2713029,worst50,3423910,43.31480303327977,3859200,0.3406592911882214,indie,True
71,2020-06-04T00:00:00.000Z,197,Skechers,28242824,['DripReport'],[3422954],1459467,11,-4.28571428571429,DripReport,,3422954,,44366,3435273,False,2.85714285714286,57,2514808,worst50,3390907,7643.030699184059,81873,0.02383304034351855,indie,False
72,2020-06-11T00:00:00.000Z,122,JU$T (feat. Pharrell Williams & Zack de la Rocha),29671615,"['Run The Jewels', 'Zack De La Rocha', 'Pharrell Williams']","[4578, 114574, 2143]",1750054,1,,Run The Jewels,Zack De La Rocha,4578,114574.0,1383206,3109864,True,,122,1750054,worst50,1726658,124.83014099129123,824980,0.2652784816313511,indie,True
73,2020-06-11T00:00:00.000Z,148,Beer Can’t Fix,23214435,"['Thomas Rhett', 'Jon Pardi']","[4222, 4510]",1612473,4,-0.5714285714285711,Thomas Rhett,Jon Pardi,4222,4510.0,7346241,10873168,True,4.57142857142857,144,1682250,worst50,3526927,48.00995502325611,3617276,0.3326791235084384,indie,True
74,2020-06-18T00:00:00.000Z,144,Sick and Tired (ft. Machine Gun Kelly and Travis Barker),29094944,"['iann dior', 'Machine Gun Kelly', 'Travis Barker']","[1416285, 3991, 216839]",1669217,1,,iann dior,Machine Gun Kelly,1416285,3991.0,4480855,39141809,True,,144,1669217,worst50,34660954,773.5343812732167,850496,0.02172858183432452,indie,False
75,2020-06-18T00:00:00.000Z,183,Pretty Girls,29692228,['iann dior'],[1416285],1508574,1,,iann dior,,1416285,,4480855,39141809,False,,183,1508574,worst50,34660954,773.5343812732167,850496,0.02172858183432452,indie,False
76,2020-06-18T00:00:00.000Z,185,IDK You Yet,28987886,['Alexander 23'],[1422356],1496554,4,-1.14285714285714,Alexander 23,,1422356,,2467134,5647140,False,-0.14285714285714302,163,1608245,worst50,3180006,128.89474183404712,109690,0.01942399161345389,indie,False
77,2020-06-18T00:00:00.000Z,187,Does To Me (feat. Eric Church),26292344,"['Luke Combs', 'Eric Church']","[207759, 2657]",1495569,5,-3.0,Luke Combs,Eric Church,207759,2657.0,7904711,11328621,True,3.28571428571429,130,1771317,worst50,3423910,43.31480303327977,3859200,0.3406592911882214,indie,True
